raw_material_meta_code,market_factor_id,transmission_weight,lag_days,proxy_quality,event_code,review_status,evidence_reference,mapping_version
POLYPROPYLENE_PP,PETROCHEMICAL_NAPHTHA,0.80,21,1.00,PETROCHEMICAL_NAPHTHA_PRICE_SHOCK,approved,https://www.energy.gov/cmei/ito/low-carbon-feedstocks-basics,module-c-seed-v1
POLYPROPYLENE_PP,BRENT_CRUDE,0.20,21,0.60,CRUDE_OIL_PETROCHEMICAL_PROXY_SHOCK,approved,https://www.eia.gov/tools/faqs/faq.php?id=34,module-c-seed-v1
POLYETHYLENE_PE,PETROCHEMICAL_NAPHTHA,0.80,21,1.00,PETROCHEMICAL_NAPHTHA_PRICE_SHOCK,approved,https://www.energy.gov/cmei/ito/low-carbon-feedstocks-basics,module-c-seed-v1
POLYETHYLENE_PE,BRENT_CRUDE,0.20,21,0.60,CRUDE_OIL_PETROCHEMICAL_PROXY_SHOCK,approved,https://www.eia.gov/tools/faqs/faq.php?id=34,module-c-seed-v1
POLYVINYL_CHLORIDE_PVC,PETROCHEMICAL_NAPHTHA,0.55,30,0.80,PETROCHEMICAL_NAPHTHA_PRICE_SHOCK,approved,https://www1.eere.energy.gov/manufacturing/resources/chemicals/pdfs/profile_chap2.pdf,module-c-seed-v1
POLYVINYL_CHLORIDE_PVC,BRENT_CRUDE,0.15,30,0.50,CRUDE_OIL_PETROCHEMICAL_PROXY_SHOCK,approved,https://www.eia.gov/tools/faqs/faq.php?id=34,module-c-seed-v1
CRUDE_OIL_REFINED,BRENT_CRUDE,1.00,0,1.00,CRUDE_OIL_PRICE_SHOCK,approved,https://www.alphavantage.co/documentation/,module-c-seed-v1
PARAFFIN_PETROLEUM,BRENT_CRUDE,0.70,21,0.80,CRUDE_OIL_DERIVATIVE_SHOCK,approved,https://www.iea.org/articles/oil-market-report-glossary,module-c-seed-v1
POLYURETHANE_PU,BRENT_CRUDE,0.50,30,0.60,CRUDE_OIL_PETROCHEMICAL_PROXY_SHOCK,approved,https://www.energy.gov/cmei/ito/low-carbon-feedstocks-basics,module-c-seed-v1
ACRYLIC_ADHESIVE,BRENT_CRUDE,0.45,30,0.55,CRUDE_OIL_PETROCHEMICAL_PROXY_SHOCK,approved,https://www.energy.gov/cmei/ito/low-carbon-feedstocks-basics,module-c-seed-v1
SYNTHETIC_NITRILE_RUBBER,BRENT_CRUDE,0.45,30,0.55,CRUDE_OIL_PETROCHEMICAL_PROXY_SHOCK,approved,https://www.eia.gov/energyexplained/hydrocarbon-gas-liquids/uses-of-hydrocarbon-gas-liquids.php,module-c-seed-v1
NYLON,BRENT_CRUDE,0.40,30,0.50,CRUDE_OIL_PETROCHEMICAL_PROXY_SHOCK,approved,https://www.energy.gov/cmei/ito/low-carbon-feedstocks-basics,module-c-seed-v1
POLYESTER_FIBER,BRENT_CRUDE,0.40,30,0.50,CRUDE_OIL_PETROCHEMICAL_PROXY_SHOCK,approved,https://www.energy.gov/cmei/ito/low-carbon-feedstocks-basics,module-c-seed-v1
SYNTHETIC_GUM_BASE,BRENT_CRUDE,0.35,30,0.45,CRUDE_OIL_PETROCHEMICAL_PROXY_SHOCK,approved,https://www.energy.gov/cmei/ito/low-carbon-feedstocks-basics,module-c-seed-v1
NONWOVEN_FABRIC_SPUNBOND,PETROCHEMICAL_NAPHTHA,0.60,21,0.80,PETROCHEMICAL_NAPHTHA_PRICE_SHOCK,approved,https://www.energy.gov/cmei/ito/low-carbon-feedstocks-basics,module-c-seed-v1
MEDICAL_SUPPLY_PLASTIC_GENERIC,PETROCHEMICAL_NAPHTHA,0.40,30,0.40,PETROCHEMICAL_NAPHTHA_PRICE_SHOCK,approved,https://www.eia.gov/tools/faqs/faq.php?id=34,module-c-seed-v1
ALUMINUM,ALUMINUM,1.00,0,1.00,ALUMINUM_PRICE_SHOCK,approved,https://www.alphavantage.co/documentation/,module-c-seed-v1
ALUMINUM_HYDROXIDE_MINERAL,ALUMINUM,0.35,30,0.40,ALUMINUM_MINERAL_PROXY_SHOCK,approved,https://www.alphavantage.co/documentation/,module-c-seed-v1
COTTON_FIBER,COTTON,1.00,0,1.00,COTTON_PRICE_SHOCK,approved,https://www.alphavantage.co/documentation/,module-c-seed-v1
GLUCOSE_CORNSTARCH,CORN,0.70,21,0.80,CORN_FEEDSTOCK_PRICE_SHOCK,approved,https://www.alphavantage.co/documentation/,module-c-seed-v1
REFINED_SUGAR,SUGAR,0.80,21,0.85,SUGAR_FEEDSTOCK_PRICE_SHOCK,approved,https://www.alphavantage.co/documentation/,module-c-seed-v1
